recordtime	accelerationX	accelerationY	accelerationZ
505	-0.03218079	-0.01806641	-1.006668
506	-0.03479004	-0.01748657	-1.007385
507	-0.03579712	-0.01954651	-1.0056
508	-0.03523254	-0.01846313	-1.005402
509	-0.03369141	-0.01812744	-1.005554
510	-0.0309906	-0.02284241	-1.00679
511	-0.03314209	-0.01966858	-1.006546
512	-0.03440857	-0.01934814	-1.00882
513	-0.03445435	-0.01979065	-1.007339
514	-0.03393555	-0.01863098	-1.007751
515	-0.0328064	-0.01951599	-1.008209
516	-0.03625488	-0.01887512	-1.005875
517	-0.03335571	-0.01954651	-1.006516
518	-0.03421021	-0.01893616	-1.009308
519	-0.03373718	-0.01812744	-1.007401
520	-0.03581238	-0.02030945	-1.008438
521	-0.03390503	-0.01786804	-1.008408
522	-0.03511047	-0.0198822	-1.009186
523	-0.03466797	-0.01992798	-1.007797
524	-0.0315094	-0.0193634	-1.007263
525	-0.03268433	-0.01931763	-1.006882
526	-0.03318787	-0.0196991	-1.009308
527	-0.03413391	-0.01841736	-1.005356
528	-0.03334045	-0.01789856	-1.005646
529	-0.03556824	-0.01934814	-1.008224
530	-0.03410339	-0.01998901	-1.008774
531	-0.03327942	-0.01908875	-1.012177
532	-0.03398132	-0.01794434	-1.015152
533	-0.03431702	-0.01745605	-1.013107
534	-0.03367615	-0.01776123	-1.012146
535	-0.03295898	-0.01922607	-1.013138
536	-0.03305054	-0.01882935	-1.011093
537	-0.03282166	-0.01745605	-1.010345
538	-0.03283691	-0.01824951	-1.008789
539	-0.03520203	-0.01931763	-1.009308
540	-0.03422546	-0.01870728	-1.008911
541	-0.03413391	-0.02027893	-1.007004
542	-0.03514099	-0.01991272	-1.007248
543	-0.03405762	-0.01763916	-1.007507
544	-0.0335083	-0.01930237	-1.008865
545	-0.03372192	-0.01841736	-1.008148
546	-0.03411865	-0.01701355	-1.007507
547	-0.03231812	-0.01937866	-1.007721
548	-0.03292847	-0.0186615	-1.008698
549	-0.03475952	-0.01953125	-1.007065
550	-0.03474426	-0.01853943	-1.008316
551	-0.03363037	-0.01971436	-1.005829
552	-0.03256226	-0.01860046	-1.007324
553	-0.03251648	-0.01925659	-1.009109
554	-0.03427124	-0.01899719	-1.006699
555	-0.03411865	-0.01794434	-1.005905
556	-0.03372192	-0.01806641	-1.006195
557	-0.03378296	-0.01921082	-1.007797
558	-0.03343201	-0.01989746	-1.007446
559	-0.03459167	-0.020401	-1.007629
560	-0.03475952	-0.01882935	-1.006439
561	-0.03530884	-0.01783752	-1.00882
562	-0.03370667	-0.02001953	-1.00589
563	-0.03424072	-0.01742554	-1.007858
564	-0.03443909	-0.020401	-1.007675
565	-0.03419495	-0.01979065	-1.005829
566	-0.03460693	-0.01847839	-1.006516
567	-0.03399658	-0.01930237	-1.008392
568	-0.03526306	-0.01899719	-1.008987
569	-0.03445435	-0.01635742	-1.008911
570	-0.03591919	-0.01972961	-1.006363
571	-0.0355072	-0.01951599	-1.007782
572	-0.03436279	-0.01800537	-1.0065
573	-0.03271484	-0.01773071	-1.006653
